key,date,value01risk,value02risk,value03risk,value04risk,value05risk,value06risk,value07risk,value01ind,value02ind,value03ind,value04ind,value05ind,value06ind,value07ind,deaths01,deaths02,deaths03,deaths04,deaths05,deaths06,deaths07,illnesses01,illnesses02,illnesses03,illnesses04,illnesses05,illnesses06,illnesses07,disruption01,disruption02,disruption03,disruption04,disruption05,disruption06,disruption07
heat,2038,41,37,51.7,38.3,44.7,40.9,47.3,0,0,0,0,0,0,0,30.6,27.2,38.2,28.2,33,30.1,34.9,71.6,63.7,89.4,66,77.1,70.4,81.6,2.59,2.26,3.19,2.34,2.74,2.5,2.91
heat,2039,41.8,37.7,53,38.7,45.9,41.6,48.8,0,0,0,0,0,0,0,31.3,27.8,39.3,28.5,33.9,30.7,36.1,73.2,64.9,91.9,66.7,79.4,71.8,84.4,2.65,2.3,3.27,2.36,2.82,2.54,3
heat,2040,42.6,38.3,54.4,39.1,47.1,42.3,50.3,0,0,0,0,0,0,0,32,28.3,40.3,28.9,34.9,31.3,37.3,74.8,66.1,94.3,67.5,81.6,73.2,87.3,2.71,2.33,3.36,2.38,2.9,2.59,3.1
heat,2041,43.4,38.9,55.7,39.5,48.4,43,51.9,0,0,0,0,0,0,0,32.7,28.8,41.4,29.2,35.9,31.9,38.5,76.4,67.3,96.8,68.3,83.9,74.6,90.2,2.77,2.37,3.44,2.41,2.97,2.63,3.2
heat,2042,44.2,39.6,57,39.9,49.6,43.8,53.5,0,0,0,0,0,0,0,33.4,29.3,42.5,29.6,36.9,32.5,39.8,78,68.6,99.3,69.1,86.2,76,93.1,2.82,2.41,3.52,2.43,3.05,2.68,3.3
heat,2043,45,40.2,58.3,40.3,50.8,44.5,55,0,0,0,0,0,0,0,34.1,29.8,43.6,29.9,37.9,33.1,41,79.7,69.8,101.9,70,88.6,77.4,96,2.88,2.45,3.61,2.46,3.13,2.73,3.4
heat,2044,45.8,40.9,59.7,40.7,52.1,45.3,56.6,0,0,0,0,0,0,0,34.8,30.4,44.6,30.3,38.9,33.7,42.3,81.4,71.1,104.4,70.8,90.9,78.8,99,2.94,2.49,3.7,2.48,3.21,2.77,3.5
heat,2045,46.7,41.6,61.1,41.2,53.3,46,58.2,0,0,0,0,0,0,0,35.5,30.9,45.8,30.6,39.9,34.3,43.6,83.1,72.3,107,71.6,93.3,80.3,102,3,2.53,3.78,2.5,3.29,2.82,3.6
heat,2046,47.5,42.2,62.4,41.6,54.6,46.8,59.8,0,0,0,0,0,0,0,36.3,31.5,46.9,31,40.9,35,44.9,84.8,73.6,109.6,72.5,95.7,81.8,105,3.07,2.57,3.87,2.53,3.37,2.87,3.71
heat,2047,48.4,42.9,63.8,42,55.9,47.6,61.4,0,0,0,0,0,0,0,37,32,48,31.3,42,35.6,46.2,86.6,74.9,112.3,73.3,98.1,83.2,108.1,3.13,2.61,3.96,2.55,3.45,2.91,3.81
